,basePrice,batterySize,capacities,frontCamera,memory,opSys,pricing,rearCamera,released,screen,screenRes,screenType,sensors,title
30,,Non-removable Li-Po 8827 mAh battery (32.9 Wh),,"1.2 MP, f/2.2, 31mm (standard)","32GB 2GB RAM, 128GB 2GB RAM","iOS 10.3, upgradable to iPadOS 13.1.2",,"8 MP, f/2.4, 31mm (standard), 1.12µm, AF","2017, March","9.7 inches, 291.4 cm, (~71.6% screen-to-body ratio)","1536 x 2048 pixels, 4:3 ratio (~264 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad 9.7 (2017)
31,,Non-removable Li-Ion 8134 mAh battery (30.8 Wh),,"7 MP, f/2.2, 32mm (standard)","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 10.3.2, upgradable to iPadOS 13.1.2",,"12 MP, f/1.8, 1/3"", PDAF, OIS","2017, June","10.5 inches, 341.4 cm, (~78.3% screen-to-body ratio)","1668 x 2224 pixels, 4:3 ratio (~265 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad Pro 10.5 (2017)
32,,"Non-removable Li-Ion 10,891 mAh battery (41 Wh)",,"7 MP, f/2.2, 32mm (standard)","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 10.3.2, upgradable to iPadOS 13.1.2",,"12 MP, f/1.8, 1/3"", PDAF, OIS","2017, June","12.9 inches, 515.3 cm, (~76.4% screen-to-body ratio)","2732 x 2048 pixels, 4:3 ratio (~265 ppi density)","IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, compass, barometer",Apple iPad Pro 12.9 (2017)
33,,Non-removable Li-Ion 341 mAh battery (1.34 Wh),,,"8GB 768MB RAM, 16GB 768MB RAM","watchOS 4.0, upgradable to 6.1",,No,"2017, September","1.65 inches, 8.6 cm, (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer",Apple Watch Series 3 Aluminum
34,,Non-removable Li-Ion 341 mAh battery (1.34 Wh),,,16GB 768MB RAM,"watchOS 4.0, upgradable to 6.1",,No,"2017, September","1.65 inches, 8.6 cm, (~55.4% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer",Apple Watch Series 3
35,,Non-removable Li-Ion 279 mAh battery (1.07 Wh) - 38mm version,,,16GB 768MB RAM,"watchOS 4.0, upgradable to 6.1",,No,"2017, September","1.65 inches, 8.6 cm, (~55.1% screen-to-body ratio)",390 x 312 pixels (~303 ppi density),"OLED capacitive touchscreen, 16M colors","Accelerometer, gyro, heart rate, barometer",Apple Watch Edition Series 3
36,"$ 281.99 / £ 271.15 / € 354.00 / ₹ 35,999",Non-removable Li-Ion 1821 mAh battery (6.96 Wh),"64GB,256GB","7 MP, f/2.2","64GB 2GB RAM, 256GB 2GB RAM","iOS 11, upgradable to iOS 13.2","$ 281.99,$ 299.00,$ 315.99,£ 271.15,£ 309.99,$ 339.99,$ 398.99,£ 339.00,£ 700.84","12 MP, f/1.8, 28mm (wide), PDAF, OIS","2017, September","4.7 inches, 60.9 cm, (~65.4% screen-to-body ratio)","750 x 1334 pixels, 16:9 ratio (~326 ppi density)","Retina IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 8
37,"$ 339.99 / £ 366.00 / € 463.40 / ₹ 54,900",Non-removable Li-Ion 2691 mAh battery (10.28 Wh),"64GB,256GB","7 MP, f/2.2, 32mm (standard)","64GB 3GB RAM, 256GB 3GB RAM","iOS 11, upgradable to iOS 13.2","$ 339.99,$ 464.95,$ 409.99,£ 366.00,£ 569.00,$ 397.00,$ 690.00,$ 522.48,£ 402.89","12 MP, f/1.8, 28mm (wide), PDAF, OIS,
12 MP, f/2.8, 57mm (telephoto), PDAF, 2x optical zoom","2017, September","5.5 inches, 83.4 cm, (~67.4% screen-to-body ratio)","1080 x 1920 pixels, 16:9 ratio (~401 ppi density)","Retina IPS LCD capacitive touchscreen, 16M colors","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass, barometer",Apple iPhone 8 Plus
38,"$ 464.00 / £ 438.00 / € 569.99 / ₹ 74,999",Non-removable Li-Ion 2716 mAh battery (10.35 Wh),"64GB,256GB","7 MP, f/2.2, 32mm (standard),
SL 3D camera","64GB 3GB RAM, 256GB 3GB RAM","iOS 11.1.1, upgradable to iOS 13.2","$ 464.00,$ 629.00,$ 555.66,£ 438.00,£ 799.00,$ 475.00,$ 864.97,$ 629.99,£ 469.00","12 MP, f/1.8, 28mm (wide), 1/3"", 1.22µm, dual pixel PDAF, OIS,
12 MP, f/2.4, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom","2017, September","5.8 inches, 84.4 cm, (~82.9% screen-to-body ratio)","1125 x 2436 pixels, 19.5:9 ratio (~458 ppi density)","Super Retina OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone X
39,"$ 1,469.99 / £ 1,049.00 / € 1,202.99 / ₹ 109,900",Non-removable Li-Ion 3969 mAh battery (15.04 Wh),"256GB,512GB,64GB","12 MP, f/2.2, 23mm (wide),
SL 3D camera","64GB 4GB RAM, 256GB 4GB RAM, 512GB 4GB RAM","iOS 13, upgradable to iOS 13.2","$ 1,469.99,$ 1,958.98,£ 1,219.00,$ 1,669.00,£ 1,449.00,£ 1,499.00,$ 1,563.17,£ 1,049.00,£ 1,079.00","12 MP, f/1.8, 26mm (wide), 1/2.55"", 1.4µm, dual pixel PDAF, OIS,
12 MP, f/2.0, 52mm (telephoto), 1/3.4"", 1.0µm, PDAF, OIS, 2x optical zoom,
12 MP, f/2.4, 13mm (ultrawide)","2019, September","6.5 inches, 102.9 cm, (~83.7% screen-to-body ratio)","1242 x 2688 pixels, 19.5:9 ratio (~458 ppi density)","Super Retina XDR OLED capacitive touchscreen, 16M colors","Face ID, accelerometer, gyro, proximity, compass, barometer",Apple iPhone 11 Pro Max
